"","DATE","OPEN","HIGH","LOW","CLOSE"
"239","01/03/11",126.71,127.6,125.7,127.05
"240","01/04/11",127.33,127.37,126.19,126.98
"241","01/05/11",126.58,127.73,126.46,127.64
"242","01/06/11",127.69,127.83,127.01,127.39
"243","01/07/11",127.56,127.77,126.15,127.14
"244","01/10/11",126.58,127.16,126.2,126.98
"245","01/11/11",127.44,127.74,126.95,127.43
"246","01/12/11",128.21,128.72,127.46,128.58
"247","01/13/11",128.63,128.69,128.05,128.37
"248","01/14/11",128.2,129.33,128.1,129.3
"249","01/18/11",129.18,129.64,129.03,129.52
"250","01/19/11",129.42,129.54,127.91,128.25
"251","01/20/11",127.96,128.4,127.13,128.08
"252","01/21/11",128.88,129.17,128.23,128.37
"253","01/24/11",128.29,129.25,128.26,129.1
"254","01/25/11",128.76,129.28,128.11,129.17
"255","01/26/11",129.49,130.05,129.23,129.67
"256","01/27/11",129.7,130.21,129.47,129.99
"257","01/28/11",130.14,130.35,127.51,127.72
"258","01/31/11",128.07,128.78,127.75,128.68
"259","02/01/11",129.46,130.97,129.38,130.74
"260","02/02/11",130.4,130.84,130.33,130.49
"261","02/03/11",130.27,130.98,129.57,130.78
"262","02/04/11",130.83,131.2,130.23,131.15
"263","02/07/11",131.44,132.4,131.43,131.97
"264","02/08/11",132.09,132.64,131.73,132.57
"265","02/09/11",132.21,132.63,131.61,132.27
"266","02/10/11",131.59,132.47,131.3,132.22
"267","02/11/11",131.8,133.28,131.77,133.11
"268","02/14/11",133.03,133.54,132.88,133.43
"269","02/15/11",133.02,133.22,132.32,133.01
"270","02/16/11",133.46,134.01,133.19,133.85
"271","02/17/11",133.46,134.43,133.34,134.25
"272","02/18/11",134.37,134.69,134.06,134.53
"273","02/22/11",133.12,134.56,131.47,131.83
"274","02/23/11",131.75,132.07,130.21,131.02
"275","02/24/11",130.88,131.44,129.7,130.93
"276","02/25/11",131.48,132.41,131.4,132.33
"277","02/28/11",132.82,133.32,132.38,133.15
"278","03/01/11",133.57,133.69,130.89,130.93
"279","03/02/11",130.75,131.82,130.35,131.21
"280","03/03/11",132.4,133.62,132.39,133.47
"281","03/04/11",133.37,133.63,131.6,132.47
"282","03/07/11",132.86,133.16,130.74,131.43
"283","03/08/11",131.64,133,131.07,132.58
"284","03/09/11",132.3,132.8,131.6,132.39
"285","03/10/11",131,131.18,129.81,129.94
"286","03/11/11",129.52,131.31,129.49,130.84
"287","03/14/11",129.99,130.48,129.06,130.05
"288","03/15/11",126.59,129.33,126.5,128.56
"289","03/16/11",128.15,128.57,125.28,126.18
"290","03/17/11",128,128.39,127.1,127.85
"291","03/18/11",128.84,128.88,127.51,127.76
"292","03/21/11",129.35,130.01,129.2,129.74
"293","03/22/11",129.72,129.89,129.17,129.29
"294","03/23/11",128.93,130,128.32,129.66
"295","03/24/11",130.4,131.09,129.67,130.9
"296","03/25/11",131.24,131.87,130.89,131.3
"297","03/28/11",131.58,131.92,130.94,130.98
"298","03/29/11",130.87,131.9,130.44,131.86
"299","03/30/11",132.55,133.16,132.36,132.77
"300","03/31/11",132.6,132.96,132.45,132.59
"301","04/01/11",133.41,133.77,132.83,133.15
"302","04/04/11",133.43,133.67,132.88,133.26
"303","04/05/11",133,133.83,132.94,133.24
"304","04/06/11",133.88,134,133.12,133.66
"305","04/07/11",133.42,133.98,132.66,133.32
"306","04/08/11",133.91,133.99,132.31,132.86
"307","04/11/11",133,133.45,132.14,132.46
"308","04/12/11",131.72,131.98,130.99,131.47
"309","04/13/11",132.08,132.18,130.96,131.46
"310","04/14/11",130.7,131.76,130.27,131.56
"311","04/15/11",131.8,132.37,131.41,132.04
"312","04/18/11",130.59,132.03,129.51,130.56
"313","04/19/11",130.76,131.35,130.44,131.31
"314","04/20/11",132.88,133.39,132.79,133.1
"315","04/21/11",133.79,133.84,133.1,133.78
"316","04/25/11",133.68,133.86,133.2,133.64
"317","04/26/11",134.05,135.06,133.91,134.79
"318","04/27/11",135.05,135.87,134.5,135.67
"319","04/28/11",135.43,136.29,135.41,136.11
"320","04/29/11",136.16,136.57,135.98,136.43
"321","05/02/11",137.07,137.18,135.95,136.22
"322","05/03/11",135.96,136.19,135.04,135.73
"323","05/04/11",135.67,135.73,134.23,134.83
"324","05/05/11",134.08,134.95,133.02,133.61
"325","05/06/11",135.3,135.63,133.22,134.2
"326","05/09/11",134.19,135.11,133.98,134.72
"327","05/10/11",135.17,136.11,135,135.87
"328","05/11/11",135.67,135.69,133.82,134.44
"329","05/12/11",134.08,135.36,133.39,135.08
"330","05/13/11",135.15,135.34,133.56,134.04
"331","05/16/11",133.56,134.61,132.97,133.19
"332","05/17/11",132.69,133.35,132.12,133.17
"333","05/18/11",133.24,134.5,132.95,134.36
"334","05/19/11",134.8,135.03,133.94,134.68
"335","05/20/11",134.33,134.68,133.36,133.61
"336","05/23/11",131.98,133.65,131.59,132.06
"337","05/24/11",132.44,132.73,131.7,131.95
"338","05/25/11",131.42,132.94,131.38,132.39
"339","05/26/11",132.03,133.24,131.78,133
"340","05/27/11",133.37,133.87,132.96,133.51
"341","05/31/11",134.77,134.92,133.84,134.9
"342","06/01/11",134.51,134.92,131.76,131.87
"343","06/02/11",131.96,132.24,130.96,131.73
"344","06/03/11",130.15,131.42,130.08,130.42
"345","06/06/11",130.09,130.36,128.87,129.04
"346","06/07/11",129.7,130.07,128.85,128.96
"347","06/08/11",128.76,129.19,128.18,128.42
"348","06/09/11",128.77,129.93,128.46,129.4
"349","06/10/11",128.85,128.93,127.26,127.6
"350","06/13/11",127.89,128.24,127.05,127.7
"351","06/14/11",128.87,129.77,128.82,129.32
"352","06/15/11",128.24,129.3,126.68,127.02
"353","06/16/11",127.06,127.97,126.32,127.3
"354","06/17/11",127.93,127.94,126.62,127.05
"355","06/20/11",126.62,127.97,126.58,127.7
"356","06/21/11",128.36,129.7,127.75,129.45
"357","06/22/11",129.05,129.81,128.59,128.67
"358","06/23/11",127.16,128.64,126.19,128.3
"359","06/24/11",128.27,128.37,126.62,126.81
"360","06/27/11",126.89,128.43,126.64,127.94
"361","06/28/11",128.45,129.63,128.27,129.61
"362","06/29/11",130.2,130.93,129.63,130.72
"363","06/30/11",131.14,132.18,130.71,131.97
"364","07/01/11",132.09,134.1,131.78,133.92
"365","07/05/11",133.78,134.08,133.39,133.81
"366","07/06/11",133.49,134.14,133.11,133.97
"367","07/07/11",135.16,135.7,134.88,135.36
"368","07/08/11",133.83,135.36,133.39,134.4
"369","07/11/11",132.75,133.18,131.66,131.97
"370","07/12/11",131.69,132.78,131.36,131.4
"371","07/13/11",132.09,133.22,131.52,131.84
"372","07/14/11",132.17,132.78,130.68,130.93
"373","07/15/11",131.66,131.87,130.77,131.69
"374","07/18/11",131.08,131.28,129.63,130.61
"375","07/19/11",131.34,132.89,131.31,132.73
"376","07/20/11",133.07,133.15,132.42,132.65
"377","07/21/11",133.4,134.82,132.67,134.49
"378","07/22/11",134.53,134.72,133.76,134.58
"379","07/25/11",133.3,134.49,133.16,133.83
"380","07/26/11",133.74,133.96,133.03,133.33
"381","07/27/11",132.59,132.63,130.43,130.6
"382","07/28/11",130.6,131.77,130.01,130.22
"383","07/29/11",128.91,130.55,127.97,129.33
"384","08/01/11",130.84,130.96,127.53,128.78
"385","08/02/11",127.82,128.5,125.49,125.49
"386","08/03/11",125.66,126.31,123.53,126.17
"387","08/04/11",124.41,124.62,120.06,120.26
"388","08/05/11",121.76,122.07,116.86,120.08
"389","08/08/11",116.91,120.12,112.02,112.26
"390","08/09/11",114.07,117.64,110.27,117.48
"391","08/10/11",115.26,116.28,111.95,112.29
"392","08/11/11",113.26,118.92,112.32,117.33
"393","08/12/11",118.4,119.22,117.28,118.12
"394","08/15/11",119.19,120.74,119,120.62
"395","08/16/11",119.47,120.69,118.31,119.59
"396","08/17/11",120.25,121.2,118.72,119.67
"397","08/18/11",116.5,119.71,113.39,114.51
"398","08/19/11",112.97,115.88,112.5,112.64
"399","08/22/11",115.16,115.23,112.41,112.73
"400","08/23/11",113.15,116.57,112.58,116.44
"401","08/24/11",116.19,118.24,115.92,118.08
"402","08/25/11",118.73,119.4,115.87,116.28
"403","08/26/11",115.69,118.51,113.85,117.97
"404","08/29/11",119.56,121.43,118.06,121.36
"405","08/30/11",120.83,122.43,119.26,121.68
"406","08/31/11",122.45,123.51,121.3,122.22
"407","09/01/11",122.29,123.4,120.78,120.94
"408","09/02/11",118.42,120.87,117.43,117.85
"409","09/06/11",114.39,117.16,114.38,116.99
"410","09/07/11",118.76,120.34,118.36,120.29
"411","09/08/11",119.57,120.94,118.77,119.04
"412","09/09/11",117.68,119.06,115.28,115.92
"413","09/12/11",114.47,116.76,114.05,116.67
"414","09/13/11",117.05,118.18,116.22,117.74
"415","09/14/11",118.34,120.8,116.72,119.37
"416","09/15/11",120.65,121.47,119.4,121.43
"417","09/16/11",121.29,121.97,120.32,121.52
"418","09/19/11",119.53,120.93,118.72,120.31
"419","09/20/11",120.82,121.99,120.01,120.17
"420","09/21/11",120.23,120.6,116.44,116.63
"421","09/22/11",113.25,114.21,111.3,112.86
"422","09/23/11",112.11,114.16,112.02,113.54
"423","09/26/11",114.61,116.4,112.98,116.24
"424","09/27/11",118.53,119.56,116.84,117.54
"425","09/28/11",117.78,118.49,114.97,115.15
"426","09/29/11",117.05,117.63,113.93,116.05
"427","09/30/11",114.45,115.45,113.07,113.15
"428","10/03/11",112.49,113.95,109.81,109.93
"429","10/04/11",108.35,112.58,107.43,112.34
"430","10/05/11",112.62,114.72,111.58,114.42
"431","10/06/11",114.36,116.66,113.51,116.49
"432","10/07/11",117.17,117.25,115.06,115.71
"433","10/10/11",117.91,119.63,117.67,119.58
"434","10/11/11",118.87,120.04,118.75,119.7
"435","10/12/11",120.6,122.14,120.33,120.75
"436","10/13/11",120.04,120.87,119.12,120.51
"437","10/14/11",121.91,122.6,121.23,122.57
"438","10/17/11",121.99,122.55,119.93,120.23
"439","10/18/11",120.14,123.5,119.2,122.58
"440","10/19/11",122.38,123.08,120.71,121.13
"441","10/20/11",121.43,122.1,119.82,121.66
"442","10/21/11",123.09,124.12,122.72,123.97
"443","10/24/11",124.17,125.8,124.06,125.49
"444","10/25/11",124.89,124.95,122.78,123.05
"445","10/26/11",124.35,124.77,122.21,124.3
"446","10/27/11",127.63,129.42,124.32,128.63
"447","10/28/11",128,128.85,127.8,128.6
"448","10/31/11",127.16,128.62,125.32,125.5
"449","11/01/11",122.03,123.51,121.52,122
"450","11/02/11",123.83,124.4,122.79,123.99
"451","11/03/11",125.27,126.5,123.6,126.25
"452","11/04/11",125.23,125.7,124.01,125.48
"453","11/07/11",125.39,126.39,124.2,126.26
"454","11/08/11",126.92,128.02,125.71,127.88
"455","11/09/11",124.89,125.8,122.86,123.16
"456","11/10/11",124.79,124.94,123.02,124.32
"457","11/11/11",125.83,126.99,125.79,126.66
"458","11/14/11",126.19,127.45,124.92,125.46
"459","11/15/11",125.17,126.75,124.72,126.08
"460","11/16/11",124.81,126.34,123.9,124.08
"461","11/17/11",123.85,124.16,121.23,122.11
"462","11/18/11",122.5,122.75,121.47,121.98
"463","11/21/11",120.2,120.35,118.65,119.66
"464","11/22/11",119.4,120.1,118.52,119.19
"465","11/23/11",118.07,119.19,116.56,116.56
"466","11/25/11",116.38,117.7,116.2,116.34
"467","11/28/11",119.54,120.18,118.82,119.71
"468","11/29/11",120.05,121,119.61,120.05
"469","11/30/11",123.49,125.22,120,124.99
"470","12/01/11",124.85,125.64,124.43,124.97
"471","12/02/11",126.12,126.5,124.78,124.86
"472","12/05/11",126.84,127.18,125.44,126.22
"473","12/06/11",126.21,127.11,125.76,126.26
"474","12/07/11",125.84,127.26,124.97,126.73
"475","12/08/11",125.9,126.18,123.65,123.95
"476","12/09/11",124.51,126.37,124.4,126.05
"477","12/12/11",124.95,124.97,123.16,124.21
"478","12/13/11",124.86,125.57,122.45,123.05
"479","12/14/11",122.56,123.03,121.47,121.74
"480","12/15/11",123.03,123.2,121.99,122.19
"481","12/16/11",122.23,122.95,121.3,121.59
"482","12/19/11",122.06,122.32,120.03,120.29
"483","12/20/11",122.18,124.14,120.37,123.93
"484","12/21/11",123.93,124.36,122.75,124.17
"485","12/22/11",124.63,125.4,124.23,125.27
"486","12/23/11",125.67,126.43,125.41,126.39
"487","12/27/11",126.17,126.82,126.06,126.49
"488","12/28/11",126.51,126.53,124.73,124.83
"489","12/29/11",125.24,126.25,124.86,126.12
"490","12/30/11",126.02,126.33,125.5,125.5
"491","01/03/12",127.76,128.38,127.43,127.5
"492","01/04/12",127.2,127.81,126.71,127.7
"493","01/05/12",127.01,128.23,126.43,128.04
"494","01/06/12",128.2,128.22,127.29,127.71
"495","01/09/12",128,128.18,127.41,128.02
"496","01/10/12",129.39,129.65,128.95,129.13
"497","01/11/12",128.73,129.37,128.52,129.2
"498","01/12/12",129.57,129.7,128.54,129.51
"499","01/13/12",128.64,129.05,127.72,128.84
"500","01/17/12",130.08,130.32,128.9,129.34
"501","01/18/12",129.31,130.84,129.08,130.77
"502","01/19/12",131.22,131.57,130.8,131.46
"503","01/20/12",131.24,131.95,130.92,131.54
"504","01/23/12",131.51,132.25,130.98,131.61
"505","01/24/12",130.8,131.5,130.6,131.46
"506","01/25/12",131.26,132.87,130.75,132.56
"507","01/26/12",133.15,133.4,131.36,131.88
"508","01/27/12",131.24,132.05,131.15,131.82
"509","01/30/12",130.51,131.44,130.06,131.37
"510","01/31/12",132.02,132.18,130.68,131.32
"511","02/01/12",132.29,133.14,132.13,132.47
"512","02/02/12",132.73,133.02,132.21,132.68
"513","02/03/12",134,134.62,133.77,134.54
"514","02/06/12",133.98,134.51,133.83,134.45
"515","02/07/12",134.17,135.02,133.64,134.79
"516","02/08/12",134.86,135.22,134.31,135.19
"517","02/09/12",135.41,135.59,134.56,135.36
"518","02/10/12",134.16,134.47,133.84,134.36
"519","02/13/12",135.32,135.52,134.74,135.36
"520","02/14/12",135,135.27,134.25,135.19
"521","02/15/12",135.63,135.83,134.29,134.56
"522","02/16/12",134.57,136.17,134.33,136.05
"523","02/17/12",136.52,136.63,135.96,136.41
"524","02/21/12",136.52,137.05,136.05,136.47
"525","02/22/12",136.26,136.55,135.79,136.03
"526","02/23/12",135.96,136.73,135.5,136.63
"527","02/24/12",136.93,137.2,136.63,136.93
"528","02/27/12",136.02,137.53,135.8,137.16
"529","02/28/12",137.2,137.72,136.93,137.56
"530","02/29/12",137.76,138.19,136.54,137.02
"531","03/01/12",137.31,137.99,136.93,137.73
"532","03/02/12",137.64,137.82,137,137.31
"533","03/05/12",137.1,137.2,136.28,136.75
"534","03/06/12",135.35,135.43,134.36,134.75
"535","03/07/12",135.06,135.91,134.93,135.69
"536","03/08/12",136.52,137.32,136.24,137.04
"537","03/09/12",137.3,137.93,137.13,137.57
"538","03/12/12",137.55,137.76,137.09,137.58
"539","03/13/12",138.32,140.13,138.09,140.06
"540","03/14/12",140.1,140.45,139.48,139.91
"541","03/15/12",140.12,140.78,139.76,140.72
"542","03/16/12",140.36,140.48,140,140.3
"543","03/19/12",140.21,141.28,140.11,140.85
"544","03/20/12",140.05,140.61,139.64,140.44
"545","03/21/12",140.52,140.65,139.92,140.21
"546","03/22/12",139.18,139.55,138.74,139.2
"547","03/23/12",139.32,139.81,138.55,139.65
"548","03/26/12",140.65,141.61,140.6,141.61
"549","03/27/12",141.74,141.83,141.08,141.17
"550","03/28/12",141.1,141.32,139.64,140.47
"551","03/29/12",139.64,140.49,139.09,140.23
"552","03/30/12",140.92,141.05,140.05,140.81
"553","04/02/12",140.64,142.21,140.36,141.84
"554","04/03/12",141.64,141.88,140.43,141.26
