Date,OIS Score
2006-08-02,-38.53733178
2006-08-03,-37.05239578
2006-08-04,-14.49020534
2006-08-07,6.442631927
2006-08-08,8.19179104
2006-08-09,15.30035412
2006-08-10,13.14204207
2006-08-11,16.45640573
2006-08-14,23.57452331
2006-08-15,-10.82220576
2006-08-16,-21.68760582
2006-08-17,-11.13984391
2006-08-18,-1.847690516
2006-08-21,10.04860843
2006-08-22,15.85493675
2006-08-23,14.53460749
2006-08-24,17.84280572
2006-08-25,23.59527919
2006-08-28,20.35404932
2006-08-29,9.481575047
2006-08-30,11.09513629
2006-08-31,20.50533738
2006-09-01,32.16395998
2006-09-05,34.83944942
2006-09-06,27.46370583
2006-09-07,35.9052223
2006-09-08,33.41338059
2006-09-11,33.87385997
2006-09-12,-18.26468889
2006-09-13,-13.47201404
2006-09-14,-0.092010499
2006-09-15,3.087092302
2006-09-18,12.58084577
2006-09-19,23.25021665
2006-09-20,6.833745263
2006-09-21,17.26114938
2006-09-22,21.95930389
2006-09-25,10.73057481
2006-09-26,17.20044043
2006-09-27,21.12401922
2006-09-28,31.6865305
2006-09-29,40.29431961
2006-10-02,52.83857962
2006-10-03,56.36240253
2006-10-04,17.08931818
2006-10-05,3.393535448
2006-10-06,11.08015866
2006-10-09,9.763499142
2006-10-10,18.02659131
2006-10-11,25.10218679
2006-10-12,-13.68613195
2006-10-13,-12.21495354
2006-10-16,0.584475131
2006-10-17,9.715211247
2006-10-18,15.86051523
2006-10-19,14.26492564
2006-10-20,5.540554461
2006-10-23,17.40677144
2006-10-24,19.89953451
2006-10-25,18.40032924
2006-10-26,6.607942986
2006-10-27,7.795682291
2006-10-30,15.01647049
2006-10-31,17.89096355
2006-11-01,6.864122356
2006-11-02,10.92092543
2006-11-03,10.08780206
2006-11-06,-0.758251014
2006-11-07,3.193294732
2006-11-08,0.590010533
2006-11-09,2.12969672
2006-11-10,-9.378149122
2006-11-13,-4.128931504
2006-11-14,-28.38888503
2006-11-15,-26.70224767
2006-11-16,-18.50175584
2006-11-17,-15.86446066
2006-11-20,-9.608091827
2006-11-21,-9.708832919
2006-11-22,-2.45984358
2006-11-24,15.56558836
2006-11-27,-9.092675155
2006-11-28,-5.44334682
2006-11-29,-20.75863361
2006-11-30,-12.91393173
2006-12-01,-5.553522827
2006-12-04,-27.42846073
2006-12-05,-20.48494667
2006-12-06,-10.42262921
2006-12-07,-0.564644334
2006-12-08,4.849151691
2006-12-11,-4.204094291
2006-12-12,-2.414894452
2006-12-13,1.256024366
2006-12-14,-5.788557355
2006-12-15,3.339418032
2006-12-18,-1.842551404
2006-12-19,6.387269015
2006-12-20,8.837519514
2006-12-21,20.37703179
2006-12-22,35.47023285
2006-12-26,34.28157506
2006-12-27,16.78473029
2006-12-28,21.10773186
2006-12-29,26.09833556
2007-01-03,40.58320877
2007-01-04,38.94341416
2007-01-05,25.60290698
2007-01-08,30.14522591
2007-01-09,27.53528458
2007-01-10,28.23174598
2007-01-11,7.823637339
2007-01-12,-2.132554562
2007-01-16,11.75572355
2007-01-17,18.57130369
2007-01-18,11.36234437
2007-01-19,-0.603381073
2007-01-22,6.394306935
2007-01-23,-6.048402229
2007-01-24,-18.2811866
2007-01-25,-13.0929685
2007-01-26,-13.85645748
2007-01-29,-3.47984016
2007-01-30,-3.712894969
2007-01-31,-1.654292854
2007-02-01,-9.807144469
2007-02-02,-4.804472098
2007-02-05,8.276953973
2007-02-06,10.03585081
2007-02-07,3.728117797
2007-02-08,8.660597949
2007-02-09,6.535593192
2007-02-12,17.2945388
2007-02-13,7.596788778
2007-02-14,15.14476036
2007-02-15,16.5604646
2007-02-16,11.03297274
2007-02-20,7.099035668
2007-02-21,9.7491005
2007-02-22,15.00495288
2007-02-23,24.57150662
2007-02-26,35.64007076
2007-02-27,-12.72424057
2007-02-28,-23.6786619
2007-03-01,-14.67563074
2007-03-02,-0.743018573
2007-03-05,4.391863219
2007-03-06,-56.02923532
2007-03-07,-53.92527368
2007-03-08,-56.15805409
2007-03-09,-58.95675777
2007-03-12,-58.00695779
2007-03-13,-48.43339157
2007-03-14,-54.54664607
2007-03-15,-67.11147458
2007-03-16,-42.58265731
2007-03-19,-47.82833271
2007-03-20,-53.60907279
2007-03-21,-72.90246299
2007-03-22,-63.86588248
2007-03-23,-50.56380056
2007-03-26,-31.43543012
2007-03-27,-19.08824261
2007-03-28,7.190301039
2007-03-29,18.20182996
2007-03-30,26.12468858
2007-04-02,37.73139924
2007-04-03,22.99745149
2007-04-04,30.20090105
2007-04-05,32.24344786
2007-04-09,51.92395502
2007-04-10,50.31210271
2007-04-11,53.74033972
2007-04-12,45.2875088
2007-04-13,38.0223977
2007-04-16,9.055228701
2007-04-17,14.19360395
2007-04-18,20.64993697
2007-04-19,29.83612623
2007-04-20,16.6338577
2007-04-23,24.50374408
2007-04-24,29.98886515
2007-04-25,29.03610507
2007-04-26,25.71608975
2007-04-27,26.62139519
2007-04-30,25.62999837
2007-05-01,24.48337389
2007-05-02,3.833885155
2007-05-03,9.623389321
2007-05-04,10.92320179
2007-05-07,20.10333562
2007-05-08,30.63607911
2007-05-09,31.41486434
2007-05-10,17.1500365
2007-05-11,-5.864895078
2007-05-14,8.853247493
2007-05-15,8.060317693
2007-05-16,1.268055533
2007-05-17,8.889880926
2007-05-18,-0.436912913
2007-05-21,-14.38272612
2007-05-22,-18.30782778
2007-05-23,-7.798897115
2007-05-24,-4.395318861
2007-05-25,-12.6079513
2007-05-29,-13.04084981
2007-05-30,-10.45123996
2007-05-31,-1.398567329
2007-06-01,2.349456663
2007-06-04,11.32928688
2007-06-05,13.67995286
2007-06-06,22.79742366
2007-06-07,20.56417619
2007-06-08,-1.469286834
2007-06-11,-4.707207996
2007-06-12,5.585315387
2007-06-13,-19.89487123
2007-06-14,-21.02540081
2007-06-15,-22.37754702
2007-06-18,-14.74456953
2007-06-19,-11.17305163
2007-06-20,-3.906254175
2007-06-21,1.033531535
2007-06-22,20.42564056
2007-06-25,28.79570361
2007-06-26,46.43309007
2007-06-27,22.22455928
2007-06-28,27.84520413
2007-06-29,42.80861162
2007-07-02,22.23853333
2007-07-03,22.93886023
2007-07-05,32.94580267
2007-07-06,30.83631174
2007-07-09,43.31668675
2007-07-10,37.70903658
2007-07-11,36.15756041
2007-07-12,5.972741132
2007-07-13,7.316876573
2007-07-16,16.90154212
2007-07-17,23.40313194
2007-07-18,27.81145188
2007-07-19,30.25737425
2007-07-20,29.82804213
2007-07-23,39.65344833
2007-07-24,16.14247051
2007-07-25,16.30513081
2007-07-26,7.098431455
2007-07-27,36.09021542
2007-07-30,11.1424137
2007-07-31,26.65841605
2007-08-01,41.50684223
2007-08-02,22.28545713
2007-08-03,3.237356401
2007-08-06,-16.65070959
2007-08-07,-21.6954641
2007-08-08,-39.87447675
2007-08-09,11.52438071
2007-08-10,21.39098257
2007-08-13,29.13850309
2007-08-14,33.14708405
2007-08-15,55.81137158
2007-08-16,28.19811452
2007-08-17,11.09880787
2007-08-20,5.994560252
2007-08-21,0.184248567
2007-08-22,-16.26302178
2007-08-23,-12.72721732
2007-08-24,-30.21792479
2007-08-27,-0.440788479
2007-08-28,7.153101895
2007-08-29,-25.86653606
2007-08-30,-0.772016177
2007-08-31,-4.01144464
2007-09-04,6.901944898
2007-09-05,34.69002747
2007-09-06,47.21237303
2007-09-07,56.25218561
2007-09-10,76.43911222
2007-09-11,51.51658019
2007-09-12,65.96650476
2007-09-13,76.11881434
2007-09-14,78.02384283
2007-09-17,102.1896107
2007-09-18,-31.79209116
2007-09-19,-49.37018454
2007-09-20,-37.67463712
2007-09-21,-36.66903812
2007-09-24,-25.71313474
2007-09-25,-16.93396897
2007-09-26,-17.99769609
2007-09-27,-13.14717541
2007-09-28,5.672094955
2007-10-01,-22.66835649
2007-10-02,-8.14763754
2007-10-03,1.399529459
